geom_type,lon,lat,@id,bridge,highway,layer,name,oneway,ref,@geometry,lanes,maxspeed,surface,alt_name,source,maxweight:signed,sidewalk:left,sidewalk:right,bicycle,foot,incline,motor_vehicle,axle_load,bridge:name,electrified,frequency,gauge,highspeed,loading_gauge,metre_load,operator,operator:short,operator:wikidata,passenger_lines,railway,railway:atc,railway:ballastless,railway:ebicab,railway:etcs,railway:radio,railway:tilting,railway:track_class,railway:traffic_mode,source:maxspeed,source:maxspeed:date,start_date,tracks,usage,voltage,wikidata,wikipedia,tracktype,width,handrail,ramp,step_count,tactile_paving,lanes:backward,lanes:forward,smoothness,destination,service,boat,waterway,lit,destination:street,destination:ref,access,is_in,nat_ref,lane_markings,int_ref,note,tourism,old_ref,sidewalk:both,footway,fixme,maxspeed:backward,ford,construction:electrified,covered,construction,construction:railway,hgv,psv,junction,sidewalk,aeroway,level,area:highway,embankment,barrier,description
Point,-8.6796731,37.1132376,way/93119729,yes,footway,1,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6849926,37.1625964,way/93221187,yes,secondary,1,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.678745,37.1615915,way/93243968,yes,secondary,1,,,,center,2,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.647512,37.1610318,way/93243972,yes,tertiary,1,,,EM 539,center,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6550566,37.1469239,way/93243984,yes,tertiary,1,,,,center,2,,asphalt,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6516415,37.1149028,way/93366530,yes,steps,1,,,,center,,,wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6724868,37.1056504,way/93366552,yes,footway,1,,,,center,,,wood,,,,,,,,up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6512886,37.1153207,way/93366568,yes,steps,1,,,,center,,,wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6732462,37.1063048,way/93366581,yes,footway,1,,,,center,,,,,,,,,,,up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4068702,6.4560264,way/93855599,yes,motorway_link,1,,yes,,center,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
